PARTPOP2,PRTOVR185,PRTUND185,PERCENTUND185,GIS_ID,GLOBALID,OBJECTID
571,424,148,0.2591944,LowFoodAccessPly_233,{C0DDA5DE-1ABA-46B9-A5CF-EA75B69CB536},234
1428,850,578,0.40476191,LowFoodAccessPly_234,{4DB2975A-0C1D-4359-8E21-50BDB1208136},235
841,800,41,0.04875148,LowFoodAccessPly_235,{0C98E510-7793-4101-BF03-A7279A4C619E},236
689,418,271,0.39332366,LowFoodAccessPly_236,{10D95229-D17F-4BDA-95BA-10F049807652},237
68,68,0,0,LowFoodAccessPly_237,{34DEBF70-A21B-47BB-A6EF-A97CF6A94B51},238
919,878,42,0.04570185,LowFoodAccessPly_238,{393C3648-709C-4AA2-A2BF-8ADBFEF7EF88},239
835,580,255,0.30538923,LowFoodAccessPly_239,{AD012066-454E-4B39-A2EA-9062E1985391},240
116,86,30,0.25862068,LowFoodAccessPly_240,{FF376C82-B339-4820-8296-B721B45CCD07},241
442,190,252,0.57013577,LowFoodAccessPly_241,{491956A5-050F-47F6-8B69-C02131D33FE0},242
929,682,247,0.26587728,LowFoodAccessPly_242,{EAD03488-1F5B-441E-953A-36F58F0948B5},243
